timestamp_ms,enc0,enc1,enc2,enc3
17.800,0,0,0,0
17.850,0,0,0,0
17.900,0,0,0,0
17.950,0,0,0,0
18.000,0,0,0,0
18.050,1,1,1,1
18.100,1,1,1,1
18.150,1,1,1,1
18.200,1,1,1,1
18.250,1,1,1,1
18.300,1,1,1,1
18.350,1,1,1,1
18.400,1,1,1,1
18.450,0,0,0,0
18.500,0,0,0,0
18.550,0,0,0,0
18.600,0,0,0,0
18.650,0,0,0,0
18.700,0,0,0,0
18.750,0,0,0,0
18.800,0,0,0,0
18.850,0,0,0,0
18.900,1,1,1,1
18.950,1,1,1,1
19.000,1,1,1,1
19.050,1,1,1,1
19.100,1,1,1,1
19.150,1,1,1,1
19.200,1,1,1,1
19.250,1,1,1,1
19.300,0,0,0,0
19.350,0,0,0,0
19.400,0,0,0,0
19.450,0,0,0,0
19.500,0,0,0,0
19.550,0,0,0,0
19.600,0,0,0,0
19.650,0,0,0,0
19.700,1,1,0,1
19.750,1,1,1,1
19.800,1,1,1,1
19.850,1,1,1,1
19.900,1,1,1,1
19.950,1,1,1,1
20.000,1,1,1,1
20.050,1,1,1,1
20.100,1,1,1,1
20.150,0,0,0,0
20.200,0,0,0,0
20.250,0,0,0,0
20.300,0,0,0,0
20.350,0,0,0,0
20.400,0,0,0,0
20.450,0,0,0,0
20.500,0,0,0,0
20.550,1,1,1,1
20.600,1,1,1,1
20.650,1,1,1,1
20.700,1,1,1,1
20.750,1,1,1,1
20.800,1,1,1,1
20.850,1,1,1,1
20.900,1,1,1,1
20.950,0,0,1,0
21.000,0,0,0,0
21.050,0,0,0,0
21.100,0,0,0,0
21.150,0,0,0,0
21.200,0,0,0,0
21.250,0,0,0,0
21.300,0,0,0,0
21.350,0,0,0,0
21.400,1,1,1,1
21.450,1,1,1,1
21.500,1,1,1,1
21.550,1,1,1,1
21.600,1,1,1,1
21.650,1,1,1,1
21.700,1,1,1,1
21.750,1,1,1,1
21.800,0,0,1,0
21.850,0,0,0,0
21.900,0,0,0,0
21.950,0,0,0,0
22.000,0,0,0,0
22.050,0,0,0,0
22.100,0,0,0,0
22.150,0,0,0,0
22.200,0,0,0,0
22.250,1,1,1,1
22.300,1,1,1,1
22.350,1,1,1,1
22.400,1,1,1,1
22.450,1,1,1,1
22.500,1,1,1,1
22.550,1,1,1,1
22.600,1,1,1,1
22.650,0,0,0,0
22.700,0,0,0,0
22.750,0,0,0,0
22.800,0,0,0,0
22.850,0,0,0,0
22.900,0,0,0,0
22.950,0,0,0,0
23.000,0,0,0,0
23.050,1,1,0,1
23.100,1,1,1,1
23.150,1,1,1,1
23.200,1,1,1,1
23.250,1,1,1,1
23.300,1,1,1,1
23.350,1,1,1,1
23.400,1,1,1,1
23.450,1,1,1,1
23.500,0,0,0,0
23.550,0,0,0,0
23.600,0,0,0,0
23.650,0,0,0,0
23.700,0,0,0,0
23.750,0,0,0,0
23.800,0,0,0,0
23.850,0,0,0,0
23.900,1,1,0,1
23.950,1,1,1,1
24.000,1,1,1,1
24.050,1,1,1,1
24.100,1,1,1,1
24.150,1,1,1,1
24.200,1,1,1,1
24.250,1,1,1,1
24.300,0,0,1,0
24.350,0,0,0,0
24.400,0,0,0,0
24.450,0,0,0,0
24.500,0,0,0,0
24.550,0,0,0,0
24.600,0,0,0,0
24.650,0,0,0,0
24.700,0,0,0,0
24.750,1,1,1,1
24.800,1,1,1,1
24.850,1,1,1,1
24.900,1,1,1,1
24.950,1,1,1,1
25.000,1,1,1,1
25.050,1,1,1,1
25.100,1,1,1,1
25.150,0,0,1,0
25.200,0,0,0,0
25.250,0,0,0,0
25.300,0,0,0,0
25.350,0,0,0,0
25.400,0,0,0,0
25.450,0,0,0,0
25.500,0,0,0,0
25.550,0,0,0,0
25.600,1,1,1,1
25.650,1,1,1,1
25.700,1,1,1,1
25.750,1,1,1,1
25.800,1,1,1,1
25.850,1,1,1,1
25.900,1,1,1,1
25.950,1,1,1,1
26.000,0,0,1,0
26.050,0,0,0,0
26.100,0,0,0,0
26.150,0,0,0,0
26.200,0,0,0,0
26.250,0,0,0,0
26.300,0,0,0,0
26.350,0,0,0,0
26.400,1,1,0,1
26.450,1,1,1,1
26.500,1,1,1,1
26.550,1,1,1,1
26.600,1,1,1,1
26.650,1,1,1,1
26.700,1,1,1,1
26.750,1,1,1,1
26.800,1,1,1,1
26.850,0,0,0,0
26.900,0,0,0,0
26.950,0,0,0,0
27.000,0,0,0,0
27.050,0,0,0,0
27.100,0,0,0,0
27.150,0,0,0,0
27.200,0,0,0,0
27.250,1,1,0,1
27.300,1,1,1,1
27.350,1,1,1,1
27.400,1,1,1,1
27.450,1,1,1,1
27.500,1,1,1,1
27.550,1,1,1,1
27.600,1,1,1,1
27.650,0,0,1,0
27.700,0,0,0,0
27.750,0,0,0,0
27.800,0,0,0,0
27.850,0,0,0,0
27.900,0,0,0,0
27.950,0,0,0,0
28.000,0,0,0,0
28.050,0,0,0,0
28.100,1,1,0,1
28.150,1,1,1,1
28.200,1,1,1,1
28.250,1,1,1,1
28.300,1,1,1,1
28.350,1,1,1,1
28.400,1,1,1,1
28.450,1,1,1,1
28.500,0,0,1,0
28.550,0,0,0,0
28.600,0,0,0,0
28.650,0,0,0,0
28.700,0,0,0,0
28.750,0,0,0,0
28.800,0,0,0,0
28.850,0,0,0,0
28.900,0,0,0,0
28.950,1,1,1,1
29.000,1,1,1,1
29.050,1,1,1,1
