timestamp_ms,enc0,enc1,enc2,enc3
32.300,0,1,0,0
32.350,0,1,0,1
32.400,0,1,0,1
32.450,0,1,0,1
32.500,1,1,0,1
32.550,1,1,0,1
32.600,1,1,0,1
32.650,1,0,0,1
32.700,1,0,0,1
32.750,1,0,1,1
32.800,1,0,1,1
32.850,1,0,1,0
32.900,1,0,1,0
32.950,1,0,1,0
33.000,0,0,1,0
33.050,0,0,1,0
33.100,0,0,1,0
33.150,0,1,1,0
33.200,0,1,0,0
33.250,0,1,0,0
33.300,0,1,0,1
33.350,0,1,0,1
33.400,0,1,0,1
33.450,1,1,0,1
33.500,1,1,0,1
33.550,1,1,0,1
33.600,1,0,0,1
33.650,1,0,0,1
33.700,1,0,1,1
33.750,1,0,1,1
33.800,1,0,1,0
33.850,1,0,1,0
33.900,0,0,1,0
33.950,0,0,1,0
34.000,0,0,1,0
34.050,0,0,1,0
34.100,0,1,1,0
34.150,0,1,0,0
34.200,0,1,0,0
34.250,0,1,0,0
34.300,0,1,0,1
34.350,0,1,0,1
34.400,1,1,0,1
34.450,1,1,0,1
34.500,1,1,0,1
34.550,1,0,0,1
34.600,1,0,1,1
34.650,1,0,1,1
34.700,1,0,1,1
34.750,1,0,1,0
34.800,1,0,1,0
34.850,0,0,1,0
34.900,0,0,1,0
34.950,0,0,1,0
35.000,0,1,1,0
35.050,0,1,1,0
35.100,0,1,0,0
35.150,0,1,0,0
35.200,0,1,0,0
35.250,0,1,0,1
35.300,0,1,0,1
35.350,1,1,0,1
35.400,1,1,0,1
35.450,1,0,0,1
35.500,1,0,0,1
35.550,1,0,0,1
35.600,1,0,1,1
35.650,1,0,1,1
35.700,1,0,1,1
35.750,1,0,1,0
35.800,0,0,1,0
35.850,0,0,1,0
35.900,0,0,1,0
35.950,0,1,1,0
36.000,0,1,1,0
36.050,0,1,0,0
36.100,0,1,0,0
36.150,0,1,0,0
36.200,0,1,0,0
36.250,0,1,0,1
36.300,1,1,0,1
36.350,1,1,0,1
36.400,1,0,0,1
36.450,1,0,0,1
36.500,1,0,0,1
36.550,1,0,1,1
36.600,1,0,1,1
36.650,1,0,1,1
36.700,1,0,1,0
36.750,0,0,1,0
36.800,0,0,1,0
36.850,0,0,1,0
36.900,0,1,1,0
36.950,0,1,1,0
37.000,0,1,0,0
37.050,0,1,0,0
37.100,0,1,0,0
37.150,0,1,0,0
37.200,0,1,0,1
37.250,1,1,0,1
37.300,1,1,0,1
37.350,1,0,0,1
37.400,1,0,0,1
37.450,1,0,0,1
37.500,1,0,1,1
37.550,1,0,1,1
37.600,1,0,1,1
37.650,1,0,1,1
37.700,0,0,1,0
37.750,0,0,1,0
37.800,0,0,1,0
37.850,0,1,1,0
37.900,0,1,1,0
37.950,0,1,0,0
38.000,0,1,0,0
38.050,0,1,0,0
38.100,0,1,0,0
38.150,0,1,0,0
38.200,1,1,0,1
38.250,1,1,0,1
38.300,1,0,0,1
38.350,1,0,0,1
38.400,1,0,0,1
38.450,1,0,1,1
38.500,1,0,1,1
38.550,1,0,1,1
38.600,1,0,1,1
38.650,0,0,1,0
38.700,0,0,1,0
38.750,0,0,1,0
38.800,0,1,1,0
38.850,0,1,1,0
38.900,0,1,0,0
38.950,0,1,0,0
39.000,0,1,0,0
39.050,0,1,0,0
39.100,0,1,0,0
39.150,1,1,0,1
39.200,1,1,0,1
39.250,1,0,0,1
39.300,1,0,0,1
39.350,1,0,0,1
39.400,1,0,1,1
39.450,1,0,1,1
39.500,1,0,1,1
39.550,1,0,1,1
39.600,0,0,1,1
39.650,0,0,1,0
39.700,0,0,1,0
39.750,0,1,1,0
39.800,0,1,1,0
39.850,0,1,0,0
39.900,0,1,0,0
39.950,0,1,0,0
40.000,0,1,0,0
40.050,0,1,0,0
40.100,1,1,0,1
40.150,1,1,0,1
40.200,1,0,0,1
40.250,1,0,0,1
40.300,1,0,0,1
40.350,1,0,1,1
40.400,1,0,1,1
40.450,1,0,1,1
40.500,1,0,1,1
40.550,0,0,1,1
40.600,0,0,1,0
40.650,0,1,1,0
40.700,0,1,1,0
40.750,0,1,1,0
40.800,0,1,0,0
40.850,0,1,0,0
40.900,0,1,0,0
40.950,0,1,0,0
41.000,0,1,0,0
41.050,1,1,0,0
41.100,1,0,0,1
41.150,1,0,0,1
41.200,1,0,0,1
41.250,1,0,1,1
41.300,1,0,1,1
41.350,1,0,1,1
41.400,1,0,1,1
41.450,1,0,1,1
41.500,0,0,1,1
41.550,0,0,1,0
41.600,0,1,1,0
41.650,0,1,1,0
41.700,0,1,1,0
41.750,0,1,0,0
41.800,0,1,0,0
41.850,0,1,0,0
41.900,0,1,0,0
41.950,0,1,0,0
42.000,1,1,0,0
42.050,1,0,0,1
42.100,1,0,0,1
42.150,1,0,0,1
42.200,1,0,1,1
42.250,1,0,1,1
42.300,1,0,1,1
42.350,1,0,1,1
42.400,1,0,1,1
42.450,0,0,1,1
42.500,0,0,1,0
42.550,0,1,1,0
42.600,0,1,1,0
42.650,0,1,0,0
42.700,0,1,0,0
42.750,0,1,0,0
42.800,0,1,0,0
42.850,0,1,0,0
42.900,0,1,0,0
42.950,1,1,0,0
43.000,1,0,0,1
43.050,1,0,0,1
43.100,1,0,0,1
43.150,1,0,1,1
43.200,1,0,1,1
43.250,1,0,1,1
43.300,1,0,1,1
43.350,1,0,1,1
43.400,0,0,1,1
43.450,0,0,1,0
43.500,0,1,1,0
