PIN | NAME
42 | P15/MTIOC0B/MTCLKB/TIOCB2/TCLKB/TMCI2/PO13/GTETRGA/RXD1/SMISO1/SSCL1/SCK3/CRX1/SSILRCK1/PIXD0/IRQ5
43 | P14/MTIOC3A/MTCLKA/TIOCB5/TCLKA/TMRI2/PO15/GTETRGD/CTS1#/RTS1#/SS1#/CTX1/USB0_OVRCURA/IRQ4
44 | P13/MTIOC0B/TIOCA5/TMO3/PO13/GTADSM1/TXD2/SMOSI2/SSDA2/SDA0/IRQ3/ADTRG1#
45 | P12/TMCI1/GTADSM0/RXD2/SMISO2/SSCL2/SCL0/IRQ2
46 | VCC_USB
47 | USB0_DM
48 | USB0_DP
49 | VSS_USB
50 | P56/CLKOUT25M/EDACK1/MTIOC3C/TIOCA1/SCK7
51 | P55/TRDATA3/D0/WAIT#/EDREQ0/MTIOC4D/TMO3/TXD7/SMOSI7/SSDA7/CRX1/ET0_EXOUT/IRQ10
52 | P54/TRDATA2/ALE/D1/EDACK0/MTIOC4B/TMCI1/CTS2#/RTS2#/SS2#/CTX1/ET0_LINKSTA
53 | P53/BCLK
54 | P52/RD#/RXD2/SMISO2/SSCL2/SSLB3-A
55 | P51/WR1#/BC1#/WAIT#/SCK2/SSLB2-A
56 | P50/WR0#/WR#/TXD2/SMOSI2/SSDA2/SSLB1-A
57 | VSS
58 | P83/TRCLK/EDACK1/MTIOC4C/GTIOC0A/SCK10/SS10#/CTS10#/ET0_CRS/RMII0_CRS_DV
59 | VCC
60 | PC7/UB/A23/CS0#/MTIOC3A/MTCLKB/TMO2/PO31/TOC0/CACREF/GTIOC3A/TXD8/SMOSI8/SSDA8/SMOSI10/SSDA10/TXD10/MISOA-A/ET0_COL/MMC_D7-A/IRQ14
61 | PC6/D2/A22/CS1#/MTIOC3C/MTCLKA/TMCI2/PO30/TIC0/GTIOC3B/RXD8/SMISO8/SSCL8/SMISO10/SSCL10/RXD10/MOSIA-A/ET0_ETXD3/MMC_D6-A/IRQ13
62 | PC5/D3/A21/CS2#/WAIT#/MTIOC3B/MTCLKD/TMRI2/PO29/GTIOC1A/SCK8/RTS8#/SCK10/RSPCKA-A/ET0_ETXD2/MMC_D5-A
63 | P82/TRSYNC/EDREQ1/MTIOC4A/PO28/GTIOC2A/SMOSI10/SSDA10/TXD10/ET0_ETXD1/RMII0_TXD1/MMC_D4-A
64 | P81/TRDATA1/EDACK0/MTIOC3D/PO27/GTIOC0B/SMISO10/SSCL10/RXD10/ET0_ETXD0/RMII0_TXD0/QIO3-A/SDHI_CD/MMC_D3-A
65 | P80/TRDATA0/EDREQ0/MTIOC3B/PO26/SCK10/RTS10#/ET0_TX_EN/RMII0_TXD_EN/QIO2-A/SDHI_WP/MMC_D2-A
66 | PC4/A20/CS3#/MTIOC3D/MTCLKC/TMCI1/PO25/POE0#/GTETRGC/SCK5/CTS8#/SS8#/SS10#/CTS10#/RTS10#/SSLA0-A/ET0_TX_CLK/QMI-A/QIO1-A/SDHI_D1-A/MMC_D1-A
67 | PC3/A19/MTIOC4D/TCLKB/PO24/GTIOC1B/TXD5/SMOSI5/SSDA5/ET0_TX_ER/QMO-A/QIO0-A/SDHI_D0-A/MMC_D0-A
68 | P77/TRDATA7/CS7#/PO23/SMOSI11/SSDA11/TXD11/ET0_RX_ER/RMII0_RX_ER/QSPCLK-A/SDHI_CLK-A/MMC_CLK-A
69 | P76/TRDATA6/CS6#/PO22/SMISO11/SSCL11/RXD11/ET0_RX_CLK/REF50CK0/QSSL-A/SDHI_CMD-A/MMC_CMD-A
70 | PC2/A18/MTIOC4B/TCLKA/PO21/GTIOC2B/RXD5/SMISO5/SSCL5/SSLA3-A/ET0_RX_DV/SDHI_D3-A/MMC_CD-A
71 | P75/TRSYNC1/CS5#/PO20/SCK11/RTS11#/ET0_ERXD0/RMII0_RXD0/SDHI_D2-A/MMC_RES#-A
72 | P74/TRDATA5/A20/CS4#/PO19/SS11#/CTS11#/ET0_ERXD1/RMII0_RXD1
73 | PC1/A17/MTIOC3A/TCLKD/PO18/SCK5/SSLA2-A/ET0_ERXD2/IRQ12
74 | VCC
75 | PC0/A16/MTIOC3C/TCLKC/PO17/CTS5#/RTS5#/SS5#/SSLA1-A/ET0_ERXD3/IRQ14
76 | VSS
77 | P73/TRDATA4/CS3#/PO16/ET0_WOL
78 | PB7/A15/MTIOC3B/TIOCB5/PO31/TXD9/SMOSI9/SSDA9/SMOSI11/SSDA11/TXD11/ET0_CRS/RMII0_CRS_DV
79 | PB6/A14/MTIOC3D/TIOCA5/PO30/RXD9/SMISO9/SSCL9/SMISO11/SSCL11/RXD11/ET0_ETXD1/RMII0_TXD1
80 | PB5/A13/MTIOC2A/MTIOC1B/TIOCB4/TMRI1/PO29/POE4#/SCK9/RTS9#/SCK11/ET0_ETXD0/RMII0_TXD0/LCD_CLK-B
81 | PB4/A12/TIOCA4/PO28/CTS9#/SS9#/SS11#/CTS11#/RTS11#/ET0_TX_EN/RMII0_TXD_EN/LCD_TCON0-B
82 | PB3/A11/MTIOC0A/MTIOC4A/TIOCD3/TCLKD/TMO0/PO27/POE11#/SCK4/SCK6/ET0_RX_ER/RMII0_RX_ER/LCD_TCON1-B
83 | PB2/A10/TIOCC3/TCLKC/PO26/CTS4#/RTS4#/SS4#/CTS6#/RTS6#/SS6#/ET0_RX_CLK/REF50CK0/LCD_TCON2-B
84 | PB1/A9/MTIOC0C/MTIOC4C/TIOCB3/TMCI0/PO25/TXD4/SMOSI4/SSDA4/TXD6/SMOSI6/SSDA6/ET0_ERXD0/RMII0_RXD0/LCD_TCON3-B/IRQ4
85 | P72/A19/CS2#/ET0_MDC/PMGI0_MDC
86 | P71/A18/CS1#/ET0_MDIO/PMGI0_MDIO
87 | PB0/A8/MTIC5W/TIOCA3/PO24/RXD4/SMISO4/SSCL4/RXD6/SMISO6/SSCL6/ET0_ERXD1/RMII0_RXD1/LCD_DATA0-B/IRQ12
88 | PA7/A7/TIOCB2/PO23/MISOA-B/ET0_WOL/LCD_DATA1-B
89 | PA6/A6/MTIC5V/MTCLKB/TIOCA2/TMCI3/PO22/POE10#/GTETRGB/CTS5#/RTS5#/SS5#/MOSIA-B/ET0_EXOUT/LCD_DATA2-B
90 | PA5/A5/MTIOC6B/TIOCB1/PO21/GTIOC0A/RSPCKA-B/ET0_LINKSTA/LCD_DATA3-B
91 | VCC
92 | PA4/A4/MTIC5U/MTCLKA/TIOCA1/TMRI0/PO20/TXD5/SMOSI5/SSDA5/SSLA0-B/ET0_MDC/PMGI0_MDC/LCD_DATA4-B/IRQ5
93 | VSS
94 | PA3/A3/MTIOC0D/MTCLKD/TIOCD0/TCLKB/PO19/RXD5/SMISO5/SSCL5/ET0_MDIO/PMGI0_MDIO/LCD_DATA5-B/IRQ6
95 | PA2/A2/MTIOC7A/PO18/GTIOC1A/RXD5/SMISO5/SSCL5/SSLA3-B/LCD_DATA6-B
96 | PA1/A1/MTIOC0B/MTCLKC/MTIOC7B/TIOCB0/PO17/GTIOC2A/SCK5/SSLA2-B/ET0_WOL/LCD_DATA7-B/IRQ11
97 | PA0/BC0#/A0/MTIOC4A/MTIOC6D/TIOCA0/PO16/CACREF/GTIOC0B/SSLA1-B/ET0_TX_EN/RMII0_TXD_EN/LCD_DATA8-B
98 | P67/DQM1/CS7#/MTIOC7C/GTIOC1B/CRX2/EPLSOUT1/IRQ15
99 | P66/DQM0/CS6#/MTIOC7D/GTIOC2B/CTX2
100 | P65/CKE/CS5#
101 | PE7/D15/D7/MTIOC6A/TOC1/GTIOC3A/MISOB-B/SDHI_WP/MMC_RES#-B/LCD_DATA9-B/IRQ7/AN105
102 | PE6/D14/D6/MTIOC6C/TIC1/GTIOC3B/MOSIB-B/SDHI_CD/MMC_CD-B/LCD_DATA10-B/IRQ6/AN104
103 | VCC
104 | P70/SDCLK
105 | VSS
106 | PE5/D13/D5/MTIOC4C/MTIOC2B/GTIOC0A/RSPCKB-B/ET0_RX_CLK/REF50CK0/LCD_DATA11-B/IRQ5/AN103
107 | PE4/D12/D4/MTIOC4D/MTIOC1A/PO28/GTIOC1A/SSLB0-B/ET0_ERXD2/LCD_DATA12-B/AN102
108 | PE3/D11/D3/MTIOC4B/PO26/TOC3/POE8#/GTIOC2A/CTS12#/RTS12#/SS12#/ET0_ERXD3/MMC_D7-B/LCD_DATA13-B/AN101
109 | PE2/D10/D2/MTIOC4A/PO23/TIC3/GTIOC0B/RXD12/SMISO12/SSCL12/RXDX12/SSLB3-B/MMC_D6-B/LCD_DATA14-B/IRQ7/AN100
110 | PE1/D9/D1/MTIOC4C/MTIOC3B/PO18/GTIOC1B/TXD12/SMOSI12/SSDA12/TXDX12/SIOX12/SSLB2-B/MMC_D5-B/LCD_DATA15-B/ANEX1
111 | PE0/D8/D0/MTIOC3D/GTIOC2B/SCK12/SSLB1-B/MMC_D4-B/LCD_DATA16-B/ANEX0
112 | P64/WE#/D3/CS4#/RMII1_TXD0
113 | P63/CAS#/D2/CS3#/RMII1_TXD1
114 | P62/RAS#/D1/CS2#/RMII1_RXD0
115 | P61/SDCS#/D0/CS1#/RMII1_RXD1
116 | VSS
117 | P60/CS0#/RMII1_TXD_EN
118 | VCC
119 | PD7/D7/MTIC5U/POE0#/SSLC3-A/RMII1_RX_ER/QMI-B/QIO1-B/SDHI_D1-B/MMC_D1-B/LCD_DATA17-B/IRQ7/AN107
120 | PD6/D6/MTIC5V/MTIOC8A/POE4#/SSLC2-A/REF50CK1/QMO-B/QIO0-B/SDHI_D0-B/MMC_D0-B/LCD_DATA18-B/IRQ6/AN106
121 | PD5/D5/MTIC5W/MTIOC8C/MTCLKA/POE10#/SSLC1-A/ET1_MDC/PMGI1_MDC/QSPCLK-B/SDHI_CLK-B/MMC_CLK-B/LCD_DATA19-B/IRQ5/AN113
122 | PD4/D4/MTIOC8B/POE11#/SSLC0-A/ET1_MDIO/PMGI1_MDIO/QSSL-B/SDHI_CMD-B/MMC_CMD-B/LCD_DATA20-B/IRQ4/AN112
123 | PD3/D3/MTIOC8D/TOC2/POE8#/GTIOC0A/RSPCKC-A/ET1_WOL/QIO3-B/SDHI_D3-B/MMC_D3-B/LCD_DATA21-B/IRQ3/AN111
124 | PD2/D2/MTIOC4D/TIC2/GTIOC0B/MISOC-A/CRX0/ET1_EXOUT/QIO2-B/SDHI_D2-B/MMC_D2-B/LCD_DATA22-B/IRQ2/AN110
125 | PD1/D1/MTIOC4B/POE0#/GTIOC1A/MOSIC-A/CTX0/LCD_DATA23-B/IRQ1/AN109
126 | PD0/D0/POE4#/GTIOC1B/LCD_EXTCLK-B/IRQ0/AN108
127 | P93/A19/POE0#/CTS7#/RTS7#/SS7#/ET1_LINKSTA/AN117
128 | P92/A18/POE4#/RXD7/SMISO7/SSCL7/RMII1_CRS_DV/AN116
129 | P91/A17/SCK7/AN115
130 | VSS
131 | P90/A16/TXD7/SMOSI7/SSDA7/AN114
132 | VCC
133 | P47/IRQ15/AN007
134 | P46/IRQ14/AN006
135 | P45/IRQ13/AN005
136 | P44/IRQ12/AN004
137 | P43/IRQ11/AN003
138 | P42/IRQ10/AN002
139 | P41/IRQ9/AN001
140 | VREFL0
141 | P40/IRQ8/AN000
142 | VREFH0
143 | AVCC0
144 | P07/IRQ15/ADTRG0#
